,,301_high,301_low,301_med,301_mean,508_high,508_low,508_med,508_mean,542_high,542_low,542_med,542_mean
,date,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM
0,2017-03-24 05:17:15,0.2263,0.1673,0.1924,0.1953,0.2182,0.2084,,0.2133,0.2668,0.2735,0.3051,0.2818
1,2017-03-25 17:06:21,0.2227,0.1593,0.1826,0.1882,0.2091,0.2016,,0.2053,0.2522,0.2627,0.2985,0.2711
2,2017-03-26 16:58:53,0.2179,0.1553,0.1784,0.1839,0.206,0.2006,,0.2033,0.2489,0.26,0.3031,0.2707
3,2017-03-29 05:25:29,0.205,0.1401,0.168,0.171,0.2205,0.2005,,0.2105,0.2432,0.2535,0.3098,0.2688
4,2017-03-30 05:18:04,0.201,0.1381,0.1613,0.1668,0.215,0.2009,,0.208,0.2397,0.2531,0.3041,0.2657
5,2017-03-31 17:07:04,0.1983,0.1339,0.1606,0.1643,0.2148,0.198,,0.2064,0.2304,0.2476,0.2905,0.2562
6,2017-04-01 16:58:06,0.1908,0.1373,0.1567,0.1616,0.212,0.1978,,0.2049,0.2267,0.246,0.2885,0.2537
7,2017-04-04 05:26:13,0.1914,0.1199,0.1445,0.152,0.2327,0.2069,,0.2198,0.2294,0.2393,0.2963,0.255
8,2017-04-05 05:17:15,0.19,0.1188,0.1437,0.1509,0.2377,0.2086,,0.2231,0.226,0.2378,0.2944,0.2527
9,2017-04-06 17:06:22,0.1796,0.1163,0.1406,0.1455,0.2433,0.2052,,0.2243,0.2242,0.2405,0.2886,0.2511
10,2017-04-07 16:58:53,0.1788,0.1172,0.1406,0.1456,0.2428,0.2046,,0.2237,0.2226,0.2395,0.284,0.2487
11,2017-04-10 05:25:30,0.1628,0.1013,0.1209,0.1283,0.2601,0.2053,,0.2327,0.2107,0.2288,0.2642,0.2346
12,2017-04-11 05:18:05,0.1583,0.098,0.1152,0.1238,0.2581,0.2021,,0.2301,0.2047,0.2276,0.2507,0.2277
13,2017-04-12 17:07:05,0.1572,0.0985,0.1133,0.123,0.2543,0.2023,,0.2283,0.2008,0.2245,0.2341,0.2198
14,2017-04-16 05:26:14,0.1518,0.0888,0.1048,0.1151,0.2645,0.2105,,0.2375,0.1916,0.2087,0.2223,0.2075
15,2017-04-17 05:17:16,0.1685,0.0989,0.1192,0.1289,0.2899,0.2391,,0.2645,0.2273,0.2216,0.2623,0.2371
16,2017-04-18 17:06:22,0.2427,0.2036,0.2168,0.221,0.3165,0.2845,,0.3005,0.2867,0.2717,0.3316,0.2967
17,2017-04-19 16:58:54,0.237,0.189,0.2067,0.2109,0.3087,0.2761,,0.2924,0.2828,0.2677,0.3296,0.2934
18,2017-04-22 05:25:30,0.2049,0.1549,0.1757,0.1785,0.2856,0.2379,0.1235,0.2157,0.2476,0.2486,0.2967,0.2643
19,2017-04-23 05:18:05,0.2199,0.16,0.1811,0.187,0.2845,0.2414,0.1226,0.2161,0.2548,0.2467,0.3043,0.2686
20,2017-04-24 17:07:05,0.1992,0.15,0.1735,0.1743,0.2717,0.2269,0.1182,0.2056,0.2317,0.2416,0.2817,0.2516
21,2017-04-25 16:58:07,0.2318,0.1569,0.1881,0.1922,0.2755,0.234,0.1228,0.2108,0.2448,0.2399,0.2937,0.2595
22,2017-04-28 05:26:14,0.2756,0.2407,0.2439,0.2534,0.3368,0.3256,0.2239,0.2954,0.3318,0.3115,0.3844,0.3425
23,2017-04-29 05:17:16,0.2584,0.2243,0.2274,0.2367,0.3302,0.3116,0.2141,0.2853,0.3187,0.3046,0.3737,0.3323
24,2017-04-30 17:06:23,0.2313,0.1937,0.2049,0.21,0.3043,0.275,0.1725,0.2506,0.2832,0.2767,0.3402,0.3
25,2017-05-01 16:58:54,0.2211,0.1824,0.1926,0.1987,0.3,0.2715,0.1653,0.2456,0.2768,0.2724,0.3355,0.2949
26,2017-05-04 05:25:31,0.2396,0.2011,0.2069,0.2159,0.3054,0.2779,0.1767,0.2534,0.2917,0.2859,0.3502,0.3093
27,2017-05-05 05:18:06,0.2547,0.2197,0.2285,0.2343,0.3045,0.2749,0.1725,0.2506,0.3028,0.2927,0.3611,0.3189
28,2017-05-06 17:07:06,0.2353,0.1989,0.2138,0.216,0.2948,0.2611,0.1593,0.2384,0.2822,0.2825,0.3417,0.3021
29,2017-05-07 16:58:08,0.248,0.2029,0.2122,0.221,0.3021,0.275,0.1705,0.2492,0.3,0.2951,0.3574,0.3175
30,2017-05-10 05:26:15,0.253,0.2139,0.2177,0.2282,0.31,0.2912,0.1825,0.2612,0.3046,0.2957,0.3568,0.319
31,2017-05-11 05:17:16,0.2381,0.1953,0.2026,0.212,0.3041,0.2764,0.1709,0.2505,0.2903,0.294,0.3448,0.3097
32,2017-05-12 17:06:23,0.2127,0.1756,0.1914,0.1933,0.2906,0.2572,0.1542,0.234,0.2624,0.2882,0.3227,0.2911
33,2017-05-13 16:58:55,0.2068,0.1674,0.1825,0.1855,0.2968,0.2636,0.1606,0.2403,0.2565,0.2844,0.3182,0.2864
34,2017-05-16 05:25:36,0.2365,0.1949,0.2019,0.2111,0.3157,0.2955,0.1726,0.2613,0.2851,0.2954,0.3403,0.307
35,2017-05-17 05:18:06,0.2143,0.1726,0.1833,0.1901,0.2993,0.2753,0.1604,0.245,0.2555,0.2816,0.3211,0.2861
36,2017-05-18 17:07:07,0.1892,0.1506,0.1671,0.1689,0.283,0.2502,0.1441,0.2258,0.2116,0.2523,0.286,0.25
37,2017-05-19 16:58:09,0.1851,0.1453,0.157,0.1625,0.2787,0.2505,0.1439,0.2244,0.2037,0.2402,0.2788,0.2409
38,2017-05-22 05:26:16,0.1745,0.1371,0.1397,0.1504,0.2759,0.2608,0.1424,0.2264,0.1925,0.2408,0.2706,0.2346
39,2017-05-23 05:17:16,0.1693,0.1319,0.1327,0.1446,0.2715,0.2601,0.1391,0.2236,0.1816,0.2284,0.2564,0.2221
40,2017-05-24 17:06:24,0.1655,0.1266,0.1247,0.1389,0.2636,0.2527,0.1326,0.2163,0.1672,0.2032,0.2301,0.2002
41,2017-05-25 16:58:50,0.1649,0.1246,0.1215,0.137,0.2649,0.2532,0.1308,0.2163,0.1646,0.1941,0.224,0.1942
42,2017-05-28 05:25:37,0.1522,0.1045,0.0986,0.1184,0.2593,0.2505,0.1331,0.2143,0.1482,0.1667,0.1949,0.1699
43,2017-05-29 05:17:53,0.1495,0.0989,0.093,0.1138,0.2547,0.2481,0.1305,0.2111,0.1437,0.1585,0.1855,0.1626
44,2017-05-30 17:07:07,0.1505,0.0987,0.0947,0.1146,0.2412,0.2382,0.1226,0.2007,0.1418,0.1513,0.1753,0.1561
45,2017-05-31 16:58:06,0.1848,0.156,0.1646,0.1685,0.2583,0.2538,0.1332,0.2151,0.2075,0.2302,0.279,0.2389
46,2017-06-03 05:26:03,0.1545,0.1003,0.1246,0.1265,0.254,0.2483,0.1276,0.21,0.1723,0.186,0.226,0.1948
47,2017-06-04 05:17:17,0.2342,0.1879,0.1626,0.1949,0.291,0.2955,0.1658,0.2508,0.2707,0.2704,0.3293,0.2901
48,2017-06-05 17:06:25,0.1869,0.1577,0.158,0.1675,0.2725,0.2635,0.1424,0.2261,0.2247,0.2436,0.2827,0.2503
49,2017-06-06 16:58:51,0.295,0.2403,0.2221,0.2525,0.3124,0.3244,0.208,0.2816,0.2997,0.2949,0.3584,0.3177
50,2017-06-09 05:25:29,0.1946,0.1508,0.1606,0.1686,0.2772,0.2623,0.1521,0.2305,0.2308,0.245,0.2905,0.2554
51,2017-06-10 05:17:54,0.2378,0.1532,0.1672,0.1861,0.2687,0.2572,0.1455,0.2238,0.2256,0.2341,0.2872,0.2489
52,2017-06-11 17:07:08,0.1669,0.1233,0.1543,0.1482,0.2532,0.2409,0.1307,0.2083,0.1917,0.2086,0.2434,0.2146
53,2017-06-12 16:58:07,0.1592,0.1122,0.1411,0.1375,0.2517,0.2422,0.1302,0.208,0.1819,0.199,0.2282,0.2031
54,2017-06-15 05:26:03,0.1388,0.0867,0.1017,0.1091,0.2418,0.2425,0.1222,0.2022,0.1578,0.1645,0.1912,0.1712
55,2017-06-16 05:17:18,0.1983,0.1209,0.1349,0.1514,0.2369,0.2385,0.119,0.1981,0.2184,0.2169,0.248,0.2278
56,2017-06-17 17:06:26,0.1439,0.1074,0.1261,0.1258,0.2233,0.2276,0.1104,0.1871,0.1794,0.1834,0.202,0.1883
57,2017-06-18 16:58:51,0.1398,0.1033,0.1214,0.1215,0.2217,0.2294,0.1089,0.1866,0.1704,0.1727,0.19,0.1777
58,2017-06-21 05:25:30,0.1543,0.0917,0.1014,0.1158,0.2105,0.2278,0.1023,0.1802,0.1505,0.1505,0.1691,0.1567
59,2017-06-22 05:17:55,0.1292,0.0917,0.1021,0.1076,0.2098,0.2264,0.1007,0.1789,0.1467,0.1485,0.1659,0.1537
60,2017-06-23 17:07:09,0.1311,0.0987,0.1035,0.1111,0.197,0.217,0.096,0.17,0.142,0.1438,0.1595,0.1485
61,2017-06-24 16:58:08,0.1294,0.0966,0.1,0.1086,0.197,0.2158,0.0937,0.1688,0.1399,0.1413,0.1571,0.1461
62,2017-06-27 05:26:04,0.1271,0.0924,0.0957,0.1051,0.2137,0.2237,0.1004,0.1792,0.1463,0.1354,0.1612,0.1476
63,2017-06-28 05:17:18,0.1476,0.1267,0.1259,0.1334,0.256,0.2459,0.1213,0.2077,0.1887,0.1409,0.2083,0.1793
64,2017-06-29 17:06:26,0.2111,0.1873,0.1811,0.1932,0.2981,0.2883,0.1614,0.2492,0.2434,0.2286,0.2824,0.2515
65,2017-06-30 16:58:52,0.1736,0.1708,0.1715,0.172,0.2739,0.2566,0.1385,0.223,0.2103,0.2069,0.2508,0.2227
66,2017-07-03 05:25:30,0.1497,0.1539,0.1517,0.1518,0.2575,0.2453,0.1293,0.2107,0.185,0.1785,0.2234,0.1956
67,2017-07-04 05:17:55,0.1372,0.1501,0.1469,0.1447,0.2465,0.2344,0.1218,0.2009,0.176,0.1692,0.2125,0.1859
68,2017-07-05 17:07:09,0.1351,0.1571,0.1457,0.1459,0.2182,0.214,0.1081,0.1801,0.1651,0.1551,0.1873,0.1692
69,2017-07-06 16:58:08,0.1325,0.1548,0.138,0.1417,0.2064,0.2083,0.102,0.1722,0.1591,0.1394,0.1764,0.1583
70,2017-07-09 05:26:05,0.1274,0.1497,0.141,0.1394,0.2108,0.2127,0.1159,0.1798,0.1269,0.1251,0.1653,0.1391
71,2017-07-10 05:17:19,0.1798,0.1867,0.1699,0.1788,0.2314,0.2288,,0.2301,0.1428,0.1212,0.1729,0.1456
72,2017-07-11 17:06:27,0.1834,0.1881,0.1783,0.1833,0.2146,0.2184,,0.2165,0.1567,0.1231,0.179,0.1529
73,2017-07-12 16:58:53,0.2027,0.2011,0.1901,0.198,0.2281,0.2289,,0.2285,0.1915,0.1248,0.2195,0.1786
74,2017-07-15 05:25:31,0.2151,0.2131,0.1969,0.2084,0.2489,0.2494,,0.2491,0.196,0.1252,0.2473,0.1895
75,2017-07-16 05:17:56,0.1935,0.1887,0.1811,0.1878,0.239,0.2306,,0.2348,0.1932,0.1566,0.2513,0.2004
76,2017-07-17 17:07:10,,,,,0.2177,0.2155,,0.2166,0.1796,0.1511,0.2285,0.1864
77,2017-07-18 16:58:09,,,,,0.214,0.2135,,0.2137,0.1747,0.1474,0.2091,0.1771
78,2017-07-21 05:26:05,,,,,,,,,,,,
79,2017-07-22 05:17:20,,,,,,,,,,,,
80,2017-07-23 17:06:28,,,,,,,,,,,,
81,2017-07-24 16:58:53,,,,,,,,,,,,
82,2017-07-27 05:25:32,,,,,,,,,,,,
83,2017-07-28 05:17:57,,,,,,,,,,,,
84,2017-07-29 17:07:11,,,,,,,,,,,,
85,2017-07-30 16:58:10,,,,,,,,,,,,
86,2017-08-02 05:26:06,,,,,,,,,,,,
87,2017-08-03 05:17:21,,,,,,,,,,,,
88,2017-08-04 17:06:28,,,,,,,,,,,,
89,2017-08-05 16:58:54,,,,,,,,,,,,
90,2017-08-08 05:25:33,,,,,,,,,,,,
91,2017-08-09 05:17:57,,,,,,,,,,,,
92,2017-08-10 17:07:12,,,,,,,,,,,,
93,2017-08-11 16:58:10,,,,,,,,,,,,
94,2017-08-14 05:26:07,,,,,,,,,,,,
95,2017-08-15 05:17:21,,,,,,,,,,,,
96,2017-08-16 17:06:29,,,,,,,,,,,,
97,2017-08-17 16:58:55,,,,,,,,,,,,
98,2017-08-20 05:25:33,,,,,,,,,,,,
99,2017-08-21 05:17:58,,,,,,,,,,,,
100,2017-08-22 17:07:12,,,,,,,,,,,,
101,2017-08-23 16:58:11,,,,,,,,,,,,
102,2017-08-26 05:26:07,,,,,,,,,,,,
103,2017-08-27 05:17:22,,,,,,,,,,,,
104,2017-08-28 17:06:29,,,,,,,,,,,,
105,2017-08-29 16:58:55,,,,,,,,,,,,
106,2017-09-01 05:25:34,,,,,,,,,,,,
107,2017-09-02 05:17:59,,,,,,,,,,,,
108,2017-09-03 17:07:13,,,,,,,,,,,,
109,2017-09-04 16:58:12,,,,,,,,,,,,
110,2017-09-07 05:26:08,,,,,,,,,,,,
111,2017-09-08 05:17:22,,,,,,,,,,,,
112,2017-09-09 17:06:30,,,,,,,,,,,,
113,2017-09-10 16:58:56,,,,,,,,,,,,
114,2017-09-13 05:25:34,,,,,,,,,,,,
115,2017-09-14 05:17:59,,,,,,,,,,,,
116,2017-09-15 17:07:13,,,,,,,,,,,,
117,2017-09-16 16:58:12,,,,,,,,,,,,
118,2017-09-19 05:26:08,,,,,,,,,,,,
119,2017-09-20 05:17:23,,,,,,,,,,,,
120,2017-09-21 17:06:30,,,,,,,,,,,,
